"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","SEA","-0.113","40.1%","-0.065","42.2%","-0.206","35.8%"
"2","","HOU","-0.108","39.5%","-0.100","40.5%","-0.124","37.8%"
"3","","MIN","-0.087","41.6%","-0.088","41.5%","-0.085","41.7%"
"4","","CLE","-0.083","40.9%","-0.088","43.4%","-0.078","37.4%"
"5","","JAX","-0.079","42.4%","-0.067","45.0%","-0.106","36.4%"
"6","","LAC","-0.077","41.6%","-0.051","42.7%","-0.121","39.7%"
"7","","LA","-0.069","41.8%","-0.051","44.4%","-0.098","37.6%"
"8","","DEN","-0.058","37.8%","-0.035","38.5%","-0.105","36.3%"
"9","","PHI","-0.051","42.5%","-0.017","43.2%","-0.104","41.5%"
"10","","NO","-0.051","41.9%","0.018","44.2%","-0.136","39.0%"
"11","","NE","-0.040","44.9%","-0.018","46.2%","-0.077","43.0%"
"12","","KC","-0.008","44.0%","0.054","47.1%","-0.100","39.5%"
"13","","BUF","-0.007","43.0%","-0.049","42.9%","0.049","43.3%"
"14","","ATL","0.008","45.2%","0.032","46.5%","-0.028","43.2%"
"15","","DET","0.012","42.6%","0.040","43.5%","-0.037","41.0%"
"16","","IND","0.013","45.7%","0.078","48.0%","-0.101","41.6%"
"17","","TB","0.017","45.2%","0.087","49.7%","-0.117","36.6%"
"18","","BAL","0.025","44.3%","0.101","46.5%","-0.115","40.2%"
"19","","PIT","0.025","43.8%","0.060","46.1%","-0.035","39.8%"
"20","","LV","0.030","44.9%","0.121","48.1%","-0.090","40.8%"
"21","","CHI","0.035","47.2%","0.088","49.4%","-0.042","44.0%"
"22","","GB","0.042","45.2%","0.116","45.9%","-0.064","44.1%"
"23","","CAR","0.060","44.2%","0.125","47.9%","-0.025","39.3%"
"24","","SF","0.070","48.4%","0.154","49.5%","-0.069","46.4%"
"25","","MIA","0.087","48.2%","0.178","52.3%","-0.046","42.3%"
"26","","ARI","0.090","48.9%","0.176","52.7%","-0.038","43.1%"
"27","","NYG","0.096","47.1%","0.088","46.9%","0.109","47.4%"
"28","","TEN","0.106","45.4%","0.201","49.7%","-0.043","38.7%"
"29","","CIN","0.122","47.6%","0.182","50.3%","0.034","43.5%"
"30","","NYJ","0.147","45.7%","0.291","49.1%","-0.034","41.4%"
"31","","WAS","0.152","47.8%","0.239","50.2%","0.026","44.4%"
"32","","DAL","0.162","48.6%","0.239","50.8%","0.034","44.9%"
