"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","NE","0.155","48.2%","0.308","54.6%","-0.089","38.0%"
"2","","LA","0.149","52.2%","0.235","53.6%","0.021","50.1%"
"3","","BUF","0.145","48.8%","0.230","50.5%","0.039","46.6%"
"4","","GB","0.122","48.1%","0.273","51.6%","-0.076","43.4%"
"5","","DAL","0.109","47.2%","0.177","49.0%","-0.008","44.0%"
"6","","SF","0.091","48.5%","0.175","53.1%","-0.033","41.8%"
"7","","IND","0.083","46.7%","0.102","47.8%","0.056","45.0%"
"8","","CHI","0.076","45.7%","0.122","45.3%","0.007","46.2%"
"9","","DET","0.071","45.0%","0.167","48.5%","-0.071","39.8%"
"10","","NYG","0.043","42.9%","0.099","44.6%","-0.040","40.5%"
"11","","KC","0.042","44.5%","0.093","46.4%","-0.060","40.8%"
"12","","JAX","0.039","44.5%","0.110","47.9%","-0.073","39.3%"
"13","","BAL","0.037","44.6%","0.036","47.0%","0.038","41.9%"
"14","","SEA","0.036","46.6%","0.137","52.7%","-0.076","39.7%"
"15","","DEN","0.035","43.6%","0.097","44.4%","-0.069","42.3%"
"16","","WAS","0.035","46.5%","0.085","49.0%","-0.039","42.8%"
"17","","PHI","0.034","43.3%","0.092","45.0%","-0.047","40.8%"
"18","","PIT","0.028","44.2%","0.046","44.3%","-0.001","44.0%"
"19","","CIN","0.012","46.4%","0.012","47.0%","0.012","45.4%"
"20","","TB","0.006","43.3%","0.064","45.3%","-0.087","40.0%"
"21","","ATL","-0.008","44.5%","0.041","46.7%","-0.073","41.4%"
"22","","HOU","-0.008","41.7%","0.083","45.7%","-0.149","35.6%"
"23","","ARI","-0.014","43.0%","0.042","45.7%","-0.142","36.8%"
"24","","LAC","-0.016","43.6%","0.021","46.1%","-0.080","39.1%"
"25","","MIA","-0.021","42.1%","-0.016","43.4%","-0.028","40.3%"
"26","","CAR","-0.025","43.7%","0.007","45.2%","-0.072","41.5%"
"27","","NO","-0.076","42.4%","-0.032","45.7%","-0.155","36.6%"
"28","","MIN","-0.094","43.3%","-0.115","43.1%","-0.062","43.7%"
"29","","NYJ","-0.129","40.5%","-0.137","39.9%","-0.117","41.4%"
"30","","TEN","-0.148","37.9%","-0.165","38.0%","-0.117","37.5%"
"31","","CLE","-0.176","35.2%","-0.212","35.9%","-0.115","33.9%"
"32","","LV","-0.192","38.6%","-0.130","42.7%","-0.304","31.1%"
