"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","D.Maye","NE","655","0.223","0.322","0.313","55.0%","75.0","64.2","10.8","9.2"
"2","B.Purdy","SF","340","0.189","0.281","0.265","55.6%","72.4","65.2","7.2","7.6"
"3","J.Love","GB","521","0.183","0.289","0.284","51.4%","70.8","65.3","5.5","8.9"
"4","J.Burrow","CIN","302","0.157","0.232","0.161","50.7%","69.8","65.1","4.7","7.5"
"5","J.Allen","BUF","622","0.154","0.242","0.232","51.1%","71.7","68.2","3.5","7.3"
"6","M.Stafford","LA","666","0.148","0.252","0.228","53.5%","66.9","65.3","1.6","9.3"
"7","S.Darnold","SEA","552","0.143","0.188","0.157","53.3%","71.6","66.4","5.2","8.1"
"8","D.Jones","IND","468","0.139","0.220","0.201","51.7%","70.0","67.7","2.3","8.2"
"9","D.Prescott","DAL","715","0.131","0.201","0.187","49.2%","69.2","67.0","2.2","8.0"
"10","M.Jones","SF","336","0.127","0.168","0.159","53.0%","72.3","68.6","3.7","7.4"
"11","P.Mahomes","KC","629","0.120","0.199","0.180","49.9%","66.6","66.3","0.3","8.2"
"12","J.Goff","DET","650","0.116","0.167","0.157","48.8%","72.0","70.3","1.7","6.7"
"13","J.Hurts","PHI","609","0.114","0.140","0.124","46.0%","68.9","65.7","3.2","9.0"
"14","C.Stroud","HOU","521","0.107","0.164","0.164","48.4%","68.1","67.7","0.3","8.1"
"15","L.Jackson","BAL","417","0.106","0.141","0.126","47.7%","66.2","64.4","1.8","9.0"
"16","J.Dart","NYG","486","0.099","0.151","0.147","47.7%","65.7","65.8","-0.2","8.2"
"17","J.Herbert","","669","0.093","0.110","0.088","48.9%","68.8","67.3","1.6","7.9"
"18","M.Mariota","","304","0.088","0.072","0.038","48.7%","66.2","63.0","3.2","10.2"
"19","T.Lawrence","","712","0.085","0.138","0.123","48.7%","62.7","64.6","-1.9","9.0"
"20","B.Nix","","733","0.077","0.106","0.101","44.7%","66.6","67.7","-1.2","7.5"
"21","A.Rodgers","","566","0.073","0.077","0.064","43.8%","69.3","69.2","0.0","6.2"
"22","B.Mayfield","","668","0.071","0.104","0.092","46.3%","65.1","67.2","-2.1","8.1"
"23","T.Shough","","410","0.070","0.046","0.029","45.1%","70.2","68.6","1.6","8.5"
"24","J.Brissett","","590","0.069","0.043","0.018","46.3%","68.9","67.3","1.6","7.6"
"25","T.Tagovailoa","","450","0.063","0.020","0.007","44.2%","70.5","68.4","2.0","6.9"
"26","B.Young","","575","0.062","0.033","0.012","45.2%","68.5","67.5","1.0","6.6"
"27","C.Williams","","693","0.061","0.097","0.089","45.0%","62.7","66.2","-3.5","8.5"
"28","S.Rattler","","326","0.060","0.007","-0.011","48.5%","71.0","68.7","2.4","8.0"
"29","M.Penix","","324","0.060","0.096","0.076","47.8%","62.9","66.5","-3.6","8.8"
"30","K.Cousins","","297","0.046","0.048","0.031","46.5%","65.1","67.9","-2.8","7.3"
"31","G.Smith","","567","0.033","-0.066","-0.101","43.9%","70.6","69.9","0.7","6.4"
"32","J.Flacco","","468","0.025","-0.013","-0.058","43.2%","65.0","67.8","-2.8","7.4"
"33","J.Fields","","307","0.023","-0.043","-0.051","45.0%","66.0","67.8","-1.9","6.7"
"34","C.Ward","","664","0.009","-0.099","-0.124","39.5%","64.7","67.7","-2.9","7.7"
"35","J.McCarthy","","313","-0.002","-0.060","-0.101","43.8%","58.8","64.5","-5.7","9.0"
