"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","B.Purdy","","523","0.204","0.360","0.338","56.4%","72.1","66.7","5.4","8.1"
"2","D.Prescott","","719","0.164","0.262","0.245","52.6%","70.6","66.6","3.9","7.8"
"3","J.Allen","","742","0.145","0.197","0.193","52.0%","70.6","65.6","5.0","8.6"
"4","T.Tagovailoa","","638","0.139","0.187","0.160","50.0%","71.5","67.0","4.5","7.8"
"5","K.Cousins","","359","0.134","0.177","0.145","48.2%","71.5","67.2","4.3","7.2"
"6","J.Hurts","","752","0.124","0.158","0.139","48.7%","70.4","66.6","3.8","8.5"
"7","J.Browning","","304","0.121","0.150","0.136","48.4%","73.1","69.2","3.9","6.3"
"8","L.Jackson","","671","0.119","0.150","0.135","50.8%","69.6","66.1","3.5","8.7"
"9","P.Mahomes","","716","0.115","0.152","0.134","48.9%","71.4","68.6","2.7","6.6"
"10","J.Love","","676","0.111","0.163","0.156","47.6%","66.5","65.4","1.1","8.5"
"11","J.Goff","","668","0.108","0.152","0.127","49.7%","71.0","69.8","1.3","7.0"
"12","B.Mayfield","","686","0.096","0.137","0.131","45.9%","66.4","66.2","0.2","8.5"
"13","C.Stroud","","594","0.095","0.135","0.124","47.3%","67.0","66.8","0.2","9.1"
"14","R.Wilson","","589","0.095","0.066","0.045","45.8%","71.6","66.7","4.9","7.0"
"15","G.Smith","","590","0.089","0.086","0.082","48.8%","68.4","66.0","2.4","7.2"
"16","D.Carr","","612","0.087","0.071","0.050","46.7%","71.7","68.7","3.0","8.0"
"17","T.Lawrence","","692","0.083","0.092","0.071","48.8%","67.0","66.1","0.9","8.2"
"18","M.Stafford","","596","0.081","0.137","0.123","46.8%","65.9","68.4","-2.6","7.9"
"19","J.Herbert","","558","0.073","0.084","0.081","46.8%","67.0","67.4","-0.3","7.6"
"20","J.Burrow","","426","0.069","0.048","0.037","47.9%","69.5","68.3","1.2","6.5"
"21","K.Murray","","341","0.055","0.064","0.030","44.0%","67.2","69.5","-2.3","7.2"
"22","R.Tannehill","","293","0.055","0.011","0.006","43.0%","67.1","66.1","1.0","8.1"
"23","J.Fields","","550","0.054","0.013","-0.009","41.3%","67.0","66.2","0.8","7.9"
"24","W.Levis","","313","0.040","-0.010","-0.033","42.5%","60.3","60.7","-0.4","10.7"
"25","G.Minshew II","","578","0.038","0.033","0.022","43.4%","65.6","68.9","-3.3","7.4"
"26","S.Howell","","758","0.030","-0.047","-0.079","43.0%","67.1","67.6","-0.4","7.2"
"27","D.Ridder","","482","0.029","-0.028","-0.061","47.1%","66.4","67.7","-1.3","8.3"
"28","J.Dobbs","","555","0.020","-0.060","-0.085","42.3%","65.8","67.6","-1.8","7.8"
"29","K.Pickett","","392","0.019","-0.053","-0.055","42.9%","64.8","67.0","-2.1","7.3"
"30","B.Young","","660","0.016","-0.139","-0.178","38.8%","66.2","67.6","-1.4","7.6"
"31","A.O'Connell","","386","0.015","-0.027","-0.038","42.2%","66.1","70.1","-3.9","7.8"
"32","M.Jones","","402","0.011","-0.082","-0.133","44.5%","66.1","69.0","-2.9","7.0"
"33","Z.Wilson","","464","0.008","-0.191","-0.220","38.6%","64.4","67.6","-3.1","7.4"
