game_id,Season,StadiumName,TimeStartGame,TimeEndGame,TZOffset
2018090600,2018,Lincoln Financial Field,9/6/2018 20:20,9/6/2018 23:39,-4
2018090900,2018,M&T Bank Stadium,9/9/2018 13:00,9/9/2018 16:21,-4
2018090901,2018,FirstEnergy Stadium,9/9/2018 13:00,9/9/2018 16:54,-4
2018090902,2018,Lucas Oil Stadium,9/9/2018 13:00,9/9/2018 16:04,-4
2018090903,2018,Hard Rock Stadium,9/9/2018 13:00,9/9/2018 20:08,-4
2018090904,2018,U.S. Bank Stadium,9/9/2018 12:00,9/9/2018 15:12,-5
2018090905,2018,Gillette Stadium,9/9/2018 13:00,9/9/2018 16:12,-4
2018090906,2018,Mercedes-Benz Superdome,9/9/2018 12:00,9/9/2018 15:13,-5
2018090907,2018,MetLife Stadium,9/9/2018 13:00,9/9/2018 16:04,-4
2018090908,2018,Dignity Health Sports Park,9/9/2018 13:05,9/9/2018 16:13,-7
2018090909,2018,State Farm Stadium,9/9/2018 13:25,9/9/2018 16:22,-7
2018090910,2018,Bank of America Stadium,9/9/2018 16:25,9/9/2018 19:27,-4
2018090911,2018,Empower Field at Mile High,9/9/2018 14:25,9/9/2018 17:31,-6
2018090912,2018,Lambeau Field,9/9/2018 19:20,9/9/2018 22:27,-5
2018091000,2018,Ford Field,9/10/2018 19:10,9/10/2018 22:28,-4
2018091001,2018,Oakland Coliseum,9/10/2018 19:20,9/10/2018 22:30,-7
2018091300,2018,Paul Brown Stadium,9/13/2018 20:20,9/13/2018 23:46,-4
2018091600,2018,Mercedes-Benz Stadium,9/16/2018 13:00,9/16/2018 16:08,-4
2018091601,2018,New Era Field,9/16/2018 13:00,9/16/2018 16:07,-4
2018091602,2018,Lambeau Field,9/16/2018 12:00,9/16/2018 15:37,-5
2018091603,2018,Mercedes-Benz Superdome,9/16/2018 12:00,9/16/2018 14:55,-5
2018091604,2018,MetLife Stadium,9/16/2018 13:00,9/16/2018 16:04,-4
2018091605,2018,Heinz Field,9/16/2018 13:00,9/16/2018 16:23,-4
2018091606,2018,Raymond James Stadium,9/16/2018 13:00,9/16/2018 16:13,-4
2018091607,2018,Nissan Stadium,9/16/2018 12:00,9/16/2018 14:57,-5
2018091608,2018,FedExField,9/16/2018 13:00,9/16/2018 15:53,-4
2018091609,2018,Los Angeles Memorial Coliseum,9/16/2018 13:05,9/16/2018 15:50,-7
2018091610,2018,Levi's Stadium,9/16/2018 13:05,9/16/2018 16:25,-7
2018091611,2018,Empower Field at Mile High,9/16/2018 14:25,9/16/2018 17:32,-6
2018091612,2018,TIAA Bank Field,9/16/2018 16:25,9/16/2018 19:27,-4
2018091613,2018,AT&T Stadium,9/16/2018 19:20,9/16/2018 22:10,-5
